open_time,open,high,low,close,volume,rsi,ema50,macd,macd_signal,macd_hist
2024-06-14 05:51:00,67053.73,67053.74,67025.38,67036.11,7.88916,53.40283542450184,66937.81913321752,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:52:00,67036.12,67044.47,67032.94,67032.95,5.05355,53.00314066293601,66941.54975544428,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:53:00,67032.94,67032.95,67010.0,67010.01,6.08729,50.07318932069634,66944.23447091706,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:54:00,67010.01,67047.99,67008.0,67034.58,10.24049,53.06576390925142,66947.77743284189,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:55:00,67034.57,67068.77,67023.83,67068.0,15.75658,56.85400508254372,66952.49204331868,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:56:00,67068.0,67108.76,67067.99,67100.01,10.87829,60.17005799956059,66958.27706122775,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:57:00,67100.01,67136.69,67100.0,67133.56,16.89295,63.34951007078195,66965.15090196392,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:58:00,67133.56,67133.56,67073.52,67073.53,7.42759,54.904316638074484,66969.40106267123,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:59:00,67073.52,67118.61,67052.49,67052.49,36.17892,52.27396472265974,66972.6594523704,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 06:00:00,67052.5,67090.0,67041.56,67044.01,16.51717,51.20911232264649,66975.45751306176,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 06:01:00,67044.01,67056.0,67022.2,67056.0,18.20997,52.67697191125211,66978.6160419613,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 06:02:00,67055.99,67057.76,67020.0,67020.01,22.96665,48.00814212422204,66980.23933443341,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 06:03:00,67020.01,67020.01,66980.0,66980.01,15.68864,43.4037019010609,66980.23034092622,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 06:04:00,66980.0,66988.0,66959.33,66967.99,23.58697,42.09710002131621,66979.75032755657,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
